Unidade Orçamentária ,GRUPO DE DESPESA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Dotação atualizada 2020*
 Comando da Marinha,Amortização da Dívida,497.0,584.3,686.5,268.3,175.9,116.6,55.4,32.1,16.1,6.9,1.3,168.2,353.3,588.6,827.6,1074.6,892.4,799.1,835.4,796.8,1145.4
Secretaria da Comissão Interministerial para os Recursos do Mar,Outras Despesas Correntes,5.0,3.7,3.0,2.9,5.2,5.6,16.9,15.8,59.4,94.3,13.8,12.9,46.9,53.0,9.1,10.7,11.7,8.0,13.6,15.0,9.8
Secretaria da Comissão Interministerial para os Recursos do Mar,Investimentos,1.8,0.7,0.1,0.1,0.4,0.9,4.4,5.9,4.0,7.7,6.4,3.5,15.1,11.7,4.8,30.3,111.9,25.0,41.9,22.6,15.6
Caixa de Financiamento Imobiliário da Aeronáutica,Pessoal e Encargos Sociais,0.2,0.2,0.2,0.6,0.7,0.6,0.4,0.5,0.6,0.7,1.0,0.9,1.0,1.1,3.3,1.3,1.3,1.4,1.4,1.4,1.5
Caixa de Financiamento Imobiliário da Aeronáutica,Juros e Encargos da Dívida,3.7,3.0,3.9,0.5,1.1,1.4,1.0,1.0,1.0,1.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Caixa de Financiamento Imobiliário da Aeronáutica,Outras Despesas Correntes,0.3,0.3,0.5,0.5,0.6,0.7,0.6,0.8,1.4,1.4,1.6,1.3,1.3,1.3,1.5,1.0,1.3,1.0,1.1,2.0,2.3
Caixa de Financiamento Imobiliário da Aeronáutica,Investimentos,3.1,4.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3
Caixa de Financiamento Imobiliário da Aeronáutica,Inversões Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
Caixa de Financiamento Imobiliário da Aeronáutica,Amortização da Dívida,1.7,6.0,1.9,1.8,3.9,6.3,6.2,6.6,3.6,7.1,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indústria de Material Bélico do Brasil,Pessoal e Encargos Sociais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,45.8,49.0,51.5,55.9,68.9,73.3,83.2,85.2,92.7,89.8,95.8,95.4
Indústria de Material Bélico do Brasil,Juros e Encargos da Dívida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Indústria de Material Bélico do Brasil,Outras Despesas Correntes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.4,124.4,123.7,126.6,105.7,129.4,141.7,119.6,126.1,126.7,141.4,118.9,103.8
Indústria de Material Bélico do Brasil,Investimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,14.5,18.1,21.1,20.3,31.0,17.7,9.8,7.0,14.1,5.5,14.1,12.2
Indústria de Material Bélico do Brasil,Amortização da Dívida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fundação Osório,Pessoal e Encargos Sociais,1.9,2.0,2.3,2.5,2.8,3.0,4.5,5.2,5.8,6.7,7.0,7.3,7.8,8.8,10.3,11.2,12.6,14.2,15.3,16.3,17.1
Fundação Osório,Outras Despesas Correntes,1.4,1.6,1.5,1.9,2.1,2.4,2.4,2.7,3.4,2.9,3.8,3.8,4.3,4.5,5.1,5.6,6.7,7.4,6.5,6.4,6.6
Fundação Osório,Investimentos,0.1,0.1,0.2,0.1,0.5,0.4,0.7,0.4,0.2,0.1,0.4,0.4,0.1,0.1,0.3,0.1,0.1,0.5,0.5,1.4,0.2
Caixa de Construções de Casas para o Pessoal da Marinha,Pessoal e Encargos Sociais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.0,2.1,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.5
Caixa de Construções de Casas para o Pessoal da Marinha,Juros e Encargos da Dívida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.9,0.3,0.5,0.2,2.5,4.6,3.7,3.7
Caixa de Construções de Casas para o Pessoal da Marinha,Outras Despesas Correntes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.8,9.0,10.4,10.1,9.0,8.2,8.0,8.5,6.8,8.6
Caixa de Construções de Casas para o Pessoal da Marinha,Investimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.5,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0
Caixa de Construções de Casas para o Pessoal da Marinha,Inversões Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,7.9,0.0,0.0,8.1,50.4
Caixa de Construções de Casas para o Pessoal da Marinha,Amortização da Dívida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.7,4.2,2.4,9.4,15.8,16.1,15.7
Amazônia Azul Tecnologias de Defesa S.A,Pessoal e Encargos Sociais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,169.0,215.9,264.8,285.0,300.1,333.6,305.4
Amazônia Azul Tecnologias de Defesa S.A,Outras Despesas Correntes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,15.9,34.1,34.4,34.7,32.6,37.2,35.8
Amazônia Azul Tecnologias de Defesa S.A,Investimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.5,0.8,0.4,0.3,0.4,0.5,1.9
Fundo do Ministério da Defesa,Outras Despesas Correntes,2.9,2.0,1.2,4.4,1.5,1.8,2.0,1.6,0.6,1.2,1.2,1.2,2.5,1.5,2.3,2.2,2.8,3.8,2.9,3.1,3.1
Fundo do Ministério da Defesa,Investimentos,0.7,0.8,0.6,1.5,1.6,1.9,1.8,1.4,0.0,0.4,0.0,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0
Fundo de Administração do Hospital das Forças Armadas,Pessoal e Encargos Sociais,0.0,12.7,43.2,25.3,26.4,34.8,42.5,44.3,55.8,74.7,106.9,118.1,128.6,140.4,147.8,151.6,160.7,168.9,166.7,166.0,166.9
Fundo de Administração do Hospital das Forças Armadas,Outras Despesas Correntes,20.5,27.1,18.0,25.7,32.4,32.4,40.2,42.2,39.8,40.9,56.9,77.4,75.5,74.3,83.1,84.6,74.0,65.7,75.7,94.9,85.8
Fundo de Administração do Hospital das Forças Armadas,Investimentos,0.1,0.3,0.3,1.5,8.5,12.3,10.6,3.5,2.8,3.4,16.4,13.5,6.7,2.9,5.5,7.6,3.0,3.8,7.7,7.4,20.0
Fundo Serviço Militar,Outras Despesas Correntes,4.1,4.5,4.0,3.9,4.5,4.5,4.4,4.8,4.1,4.7,5.9,6.1,6.1,5.4,5.1,4.9,5.4,4.6,6.7,7.0,7.4
